,time,lik
1,1,-345474.1454
2,1.224030038,-317009.6329
3,1.448060075,-301644.6164
4,1.672090113,-290912.737
5,1.89612015,-282234.4163
6,2.120150188,-274594.3857
7,2.344180225,-267541.9806
8,2.568210263,-260859.8259
9,2.7922403,-254436.0909
10,3.016270338,-248210.0836
11,3.240300375,-242147.3194
12,3.464330413,-236227.5048
13,3.688360451,-230438.4782
14,3.912390488,-224772.9489
15,4.136420526,-219226.5344
16,4.360450563,-213796.3476
17,4.584480601,-208479.8288
18,4.808510638,-203273.8712
19,5.032540676,-198174.4599
20,5.256570713,-193176.807
21,5.480600751,-188275.6027
22,5.704630788,-183465.1602
23,5.928660826,-178739.5492
24,6.152690864,-174092.634
25,6.376720901,-169518.0822
26,6.600750939,-165009.5615
27,6.824780976,-160561.2207
28,7.048811014,-156168.5928
29,7.272841051,-151830.1665
30,7.496871089,-147549.5708
31,7.720901126,-143335.9658
32,7.944931164,-139196.2994
33,8.168961202,-135121.8732
34,8.392991239,-131089.9834
35,8.617021277,-127082.0936
36,8.841051314,-123090.5294
37,9.065081352,-119112.2563
38,9.289111389,-115145.1837
39,9.513141427,-111187.7137
40,9.737171464,-107238.7779
41,9.961201502,-103297.8291
42,10.18523154,-99364.78527
43,10.40926158,-95439.95429
44,10.63329161,-91523.95287
45,10.85732165,-87617.62766
46,11.08135169,-83721.98196
47,11.30538173,-79838.10979
48,11.52941176,-75967.13814
49,11.7534418,-72110.17785
50,11.97747184,-68268.28342
51,12.20150188,-64442.42162
52,12.42553191,-60633.44848
53,12.64956195,-56842.09444
54,12.87359199,-53068.95673
55,13.09762203,-49314.49844
56,13.32165207,-45579.05361
57,13.5456821,-41862.83758
58,13.76971214,-38165.96253
59,13.99374218,-34488.4584
60,14.21777222,-30830.30057
61,14.44180225,-27191.44785
62,14.66583229,-23571.89853
63,14.88986233,-19971.78146
64,15.11389237,-16391.51933
65,15.3379224,-12832.14924
66,15.56195244,-9295.996512
67,15.78598248,-5788.119521
68,16.01001252,-2318.919317
69,16.23404255,1095.666342
70,16.45807259,4449.857485
71,16.68210263,7760.117318
72,16.90613267,11041.32654
73,17.1301627,14295.71112
74,17.35419274,17522.099
75,17.57822278,20719.22256
76,17.80225282,23885.90162
77,18.02628285,27020.99048
78,18.25031289,30123.348
79,18.47434293,33191.82871
80,18.69837297,36225.28649
81,18.922403,39222.58572
82,19.14643304,42182.61646
83,19.37046308,45104.31168
84,19.59449312,47986.66495
85,19.81852315,50828.74748
86,20.04255319,53629.72372
87,20.26658323,56388.86487
88,20.49061327,59105.55999
89,20.7146433,61779.32415
90,20.93867334,64409.80376
91,21.16270338,66996.77889
92,21.38673342,69540.16263
93,21.61076345,72039.99777
94,21.83479349,74496.45112
95,22.05882353,76909.80559
96,22.28285357,79280.4507
97,22.5068836,81608.87172
98,22.73091364,83895.63795
99,22.95494368,86141.39057
100,23.17897372,88346.83038
101,23.40300375,90512.70577
102,23.62703379,92639.80125
103,23.85106383,94728.92673
104,24.07509387,96780.90772
105,24.2991239,98796.57659
106,24.52315394,100776.7649
107,24.74718398,102722.297
108,24.97121402,104633.9845
109,25.19524406,106512.6219
110,25.41927409,108358.9835
111,25.64330413,110173.8206
112,25.86733417,111957.8598
113,26.09136421,113711.8026
114,26.31539424,115436.3241
115,26.53942428,117132.0737
116,26.76345432,118799.6753
117,26.98748436,120439.728
118,27.21151439,122052.8073
119,27.43554443,123639.466
120,27.65957447,125200.2352
121,27.88360451,126735.626
122,28.10763454,128246.1307
123,28.33166458,129732.2236
124,28.55569462,131194.3628
125,28.77972466,132632.9909
126,29.00375469,134048.5364
127,29.22778473,135441.4145
128,29.45181477,136812.0281
129,29.67584481,138160.7688
130,29.89987484,139488.0174
131,30.12390488,140794.1447
132,30.34793492,142079.5124
133,30.57196496,143344.4734
134,30.79599499,144589.372
135,31.02002503,145814.5453
136,31.24405507,147020.3227
137,31.46808511,148207.0265
138,31.69211514,149374.9725
139,31.91614518,150524.47
140,32.14017522,151655.8222
141,32.36420526,152769.3264
142,32.58823529,153865.2742
143,32.81226533,154943.9516
144,33.03629537,156005.6394
145,33.26032541,157050.6131
146,33.48435544,158079.1432
147,33.70838548,159091.4953
148,33.93241552,160087.9302
149,34.15644556,161068.7042
150,34.38047559,162034.0689
151,34.60450563,162984.2713
152,34.82853567,163919.5544
153,35.05256571,164840.1567
154,35.27659574,165746.3127
155,35.50062578,166638.2526
156,35.72465582,167516.2029
157,35.94868586,168380.3859
158,36.17271589,169231.0204
159,36.39674593,170068.3212
160,36.62077597,170892.4994
161,36.84480601,171703.7627
162,37.06883605,172502.3152
163,37.29286608,173288.3575
164,37.51689612,174062.0868
165,37.74092616,174823.6971
166,37.9649562,175573.379
167,38.18898623,176311.3199
168,38.41301627,177037.7043
169,38.63704631,177752.7134
170,38.86107635,178456.5255
171,39.08510638,179149.3159
172,39.30913642,179831.2571
173,39.53316646,180502.5186
174,39.7571965,181163.2674
175,39.98122653,181813.6674
176,40.20525657,182453.8802
177,40.42928661,183084.0645
178,40.65331665,183704.3766
179,40.87734668,184314.9702
180,41.10137672,184915.9966
181,41.32540676,185507.6046
182,41.5494368,186089.9405
183,41.77346683,186663.1486
184,41.99749687,187227.3706
185,42.22152691,187782.746
186,42.44555695,188329.4122
187,42.66958698,188867.5044
188,42.89361702,189397.1555
189,43.11764706,189918.4965
190,43.3416771,190431.6563
191,43.56570713,190936.7617
192,43.78973717,191433.9376
193,44.01376721,191923.3069
194,44.23779725,192404.9906
195,44.46182728,192879.1078
196,44.68585732,193345.7758
197,44.90988736,193805.11
198,45.1339174,194257.2241
199,45.35794743,194702.23
200,45.58197747,195140.2378
201,45.80600751,195571.3559
202,46.03003755,195995.6913
203,46.25406758,196413.349
204,46.47809762,196824.4325
205,46.70212766,197229.0439
206,46.9261577,197627.2834
207,47.15018773,198019.2499
208,47.37421777,198405.0407
209,47.59824781,198784.7517
210,47.82227785,199158.4772
211,48.04630788,199526.3102
212,48.27033792,199888.3421
213,48.49436796,200244.663
214,48.718398,200595.3616
215,48.94242804,200940.5254
216,49.16645807,201280.2404
217,49.39048811,201614.5912
218,49.61451815,201943.6614
219,49.83854819,202267.533
220,50.06257822,202586.2871
221,50.28660826,202900.0032
222,50.5106383,203208.7598
223,50.73466834,203512.6343
224,50.95869837,203811.7026
225,51.18272841,204106.0397
226,51.40675845,204395.7194
227,51.63078849,204680.8144
228,51.85481852,204961.3962
229,52.07884856,205237.5353
230,52.3028786,205509.301
231,52.52690864,205776.7618
232,52.75093867,206039.9848
233,52.97496871,206299.0364
234,53.19899875,206553.9818
235,53.42302879,206804.8853
236,53.64705882,207051.8102
237,53.87108886,207294.8186
238,54.0951189,207533.9721
239,54.31914894,207769.331
240,54.54317897,208000.9549
241,54.76720901,208228.9023
242,54.99123905,208453.2308
243,55.21526909,208673.9974
244,55.43929912,208891.2579
245,55.66332916,209105.0674
246,55.8873592,209315.4801
247,56.11138924,209522.5496
248,56.33541927,209726.3282
249,56.55944931,209926.8679
250,56.78347935,210124.2196
251,57.00750939,210318.4334
252,57.23153942,210509.5589
253,57.45556946,210697.6446
254,57.6795995,210882.7386
255,57.90362954,211064.8878
256,58.12765957,211244.139
257,58.35168961,211420.5376
258,58.57571965,211594.1289
259,58.79974969,211764.957
260,59.02377972,211933.0657
261,59.24780976,212098.4979
262,59.4718398,212261.296
263,59.69586984,212421.5015
264,59.91989987,212579.1556
265,60.14392991,212734.2985
266,60.36795995,212886.97
267,60.59198999,213037.2093
268,60.81602003,213185.0548
269,61.04005006,213330.5446
270,61.2640801,213473.7159
271,61.48811014,213614.6054
272,61.71214018,213753.2495
273,61.93617021,213889.6836
274,62.16020025,214023.9429
275,62.38423029,214156.0618
276,62.60826033,214286.0744
277,62.83229036,214414.0141
278,63.0563204,214539.9139
279,63.28035044,214663.8061
280,63.50438048,214785.7226
281,63.72841051,214905.6949
282,63.95244055,215023.7539
283,64.17647059,215139.9301
284,64.40050063,215254.2532
285,64.62453066,215366.753
286,64.8485607,215477.4583
287,65.07259074,215586.3978
288,65.29662078,215693.5996
289,65.52065081,215799.0913
290,65.74468085,215902.9002
291,65.96871089,216005.0532
292,66.19274093,216105.5766
293,66.41677096,216204.4963
294,66.640801,216301.838
295,66.86483104,216397.6269
296,67.08886108,216491.8876
297,67.31289111,216584.6447
298,67.53692115,216675.922
299,67.76095119,216765.7432
300,67.98498123,216854.1316
301,68.20901126,216941.1099
302,68.4330413,217026.7009
303,68.65707134,217110.9265
304,68.88110138,217193.8086
305,69.10513141,217275.3687
306,69.32916145,217355.6279
307,69.55319149,217434.607
308,69.77722153,217512.3264
309,70.00125156,217588.8064
310,70.2252816,217664.0666
311,70.44931164,217738.1266
312,70.67334168,217811.0057
313,70.89737171,217882.7226
314,71.12140175,217953.2961
315,71.34543179,218022.7443
316,71.56946183,218091.0852
317,71.79349186,218158.3367
318,72.0175219,218224.5161
319,72.24155194,218289.6406
320,72.46558198,218353.7271
321,72.68961202,218416.7922
322,72.91364205,218478.8522
323,73.13767209,218539.9233
324,73.36170213,218600.0212
325,73.58573217,218659.1616
326,73.8097622,218717.3598
327,74.03379224,218774.6308
328,74.25782228,218830.9896
329,74.48185232,218886.4508
330,74.70588235,218941.0286
331,74.92991239,218994.7374
332,75.15394243,219047.5909
333,75.37797247,219099.6029
334,75.6020025,219150.7869
335,75.82603254,219201.1562
336,76.05006258,219250.7237
337,76.27409262,219299.5024
338,76.49812265,219347.5049
339,76.72215269,219394.7436
340,76.94618273,219441.2308
341,77.17021277,219486.9785
342,77.3942428,219531.9986
343,77.61827284,219576.3027
344,77.84230288,219619.9022
345,78.06633292,219662.8086
346,78.29036295,219705.0328
347,78.51439299,219746.5859
348,78.73842303,219787.4786
349,78.96245307,219827.7214
350,79.1864831,219867.3249
351,79.41051314,219906.2991
352,79.63454318,219944.6543
353,79.85857322,219982.4003
354,80.08260325,220019.5469
355,80.30663329,220056.1037
356,80.53066333,220092.0802
357,80.75469337,220127.4856
358,80.9787234,220162.3292
359,81.20275344,220196.6198
360,81.42678348,220230.3664
361,81.65081352,220263.5777
362,81.87484355,220296.2623
363,82.09887359,220328.4285
364,82.32290363,220360.0848
365,82.54693367,220391.2392
366,82.7709637,220421.8999
367,82.99499374,220452.0747
368,83.21902378,220481.7713
369,83.44305382,220510.9976
370,83.66708385,220539.7609
371,83.89111389,220568.0688
372,84.11514393,220595.9285
373,84.33917397,220623.3471
374,84.56320401,220650.3318
375,84.78723404,220676.8895
376,85.01126408,220703.027
377,85.23529412,220728.7511
378,85.45932416,220754.0683
379,85.68335419,220778.9853
380,85.90738423,220803.5083
381,86.13141427,220827.6437
382,86.35544431,220851.3977
383,86.57947434,220874.7764
384,86.80350438,220897.7859
385,87.02753442,220920.4319
386,87.25156446,220942.7204
387,87.47559449,220964.657
388,87.69962453,220986.2473
389,87.92365457,221007.497
390,88.14768461,221028.4115
391,88.37171464,221048.996
392,88.59574468,221069.256
393,88.81977472,221089.1965
394,89.04380476,221108.8227
395,89.26783479,221128.1396
396,89.49186483,221147.1522
397,89.71589487,221165.8653
398,89.93992491,221184.2837
399,90.16395494,221202.4121
400,90.38798498,221220.2551
401,90.61201502,221237.8173
402,90.83604506,221255.1032
403,91.06007509,221272.1172
404,91.28410513,221288.8636
405,91.50813517,221305.3467
406,91.73216521,221321.5707
407,91.95619524,221337.5398
408,92.18022528,221353.2579
409,92.40425532,221368.7292
410,92.62828536,221383.9575
411,92.85231539,221398.9468
412,93.07634543,221413.7008
413,93.30037547,221428.2232
414,93.52440551,221442.5179
415,93.74843554,221456.5883
416,93.97246558,221470.4381
417,94.19649562,221484.0709
418,94.42052566,221497.49
419,94.64455569,221510.6988
420,94.86858573,221523.7007
421,95.09261577,221536.4991
422,95.31664581,221549.0971
423,95.54067584,221561.4979
424,95.76470588,221573.7047
425,95.98873592,221585.7206
426,96.21276596,221597.5486
427,96.43679599,221609.1916
428,96.66082603,221620.6527
429,96.88485607,221631.9347
430,97.10888611,221643.0405
431,97.33291615,221653.9728
432,97.55694618,221664.7345
433,97.78097622,221675.3282
434,98.00500626,221685.7566
435,98.2290363,221696.0224
436,98.45306633,221706.1281
437,98.67709637,221716.0762
438,98.90112641,221725.8694
439,99.12515645,221735.5099
440,99.34918648,221745.0003
441,99.57321652,221754.3429
442,99.79724656,221763.5401
443,100.0212766,221772.5942
444,100.2453066,221781.5074
445,100.4693367,221790.2821
446,100.6933667,221798.9203
447,100.9173967,221807.4242
448,101.1414268,221815.7961
449,101.3654568,221824.0379
450,101.5894869,221832.1517
451,101.8135169,221840.1395
452,102.0375469,221848.0035
453,102.261577,221855.7454
454,102.485607,221863.3673
455,102.709637,221870.871
456,102.9336671,221878.2585
457,103.1576971,221885.5314
458,103.3817272,221892.6918
459,103.6057572,221899.7413
460,103.8297872,221906.6817
461,104.0538173,221913.5147
462,104.2778473,221920.242
463,104.5018773,221926.8653
464,104.7259074,221933.3862
465,104.9499374,221939.8064
466,105.1739675,221946.1274
467,105.3979975,221952.3509
468,105.6220275,221958.4782
469,105.8460576,221964.5111
470,106.0700876,221970.4508
471,106.2941176,221976.299
472,106.5181477,221982.0571
473,106.7421777,221987.7264
474,106.9662078,221993.3084
475,107.1902378,221998.8045
476,107.4142678,222004.2159
477,107.6382979,222009.5442
478,107.8623279,222014.7904
479,108.0863579,222019.956
480,108.310388,222025.0423
481,108.534418,222030.0503
482,108.7584481,222034.9815
483,108.9824781,222039.837
484,109.2065081,222044.6179
485,109.4305382,222049.3255
486,109.6545682,222053.961
487,109.8785982,222058.5253
488,110.1026283,222063.0198
489,110.3266583,222067.4454
490,110.5506884,222071.8032
491,110.7747184,222076.0943
492,110.9987484,222080.3198
493,111.2227785,222084.4807
494,111.4468085,222088.5779
495,111.6708385,222092.6126
496,111.8948686,222096.5856
497,112.1188986,222100.498
498,112.3429287,222104.3506
499,112.5669587,222108.1445
500,112.7909887,222111.8805
501,113.0150188,222115.5595
502,113.2390488,222119.1825
503,113.4630788,222122.7503
504,113.6871089,222126.2638
505,113.9111389,222129.7239
506,114.135169,222133.1312
507,114.359199,222136.4868
508,114.583229,222139.7914
509,114.8072591,222143.0457
510,115.0312891,222146.2507
511,115.2553191,222149.4069
512,115.4793492,222152.5153
513,115.7033792,222155.5766
514,115.9274093,222158.5914
515,116.1514393,222161.5605
516,116.3754693,222164.4847
517,116.5994994,222167.3646
518,116.8235294,222170.2009
519,117.0475594,222172.9943
520,117.2715895,222175.7454
521,117.4956195,222178.455
522,117.7196496,222181.1236
523,117.9436796,222183.752
524,118.1677096,222186.3406
525,118.3917397,222188.8902
526,118.6157697,222191.4014
527,118.8397997,222193.8747
528,119.0638298,222196.3107
529,119.2878598,222198.7101
530,119.5118899,222201.0733
531,119.7359199,222203.401
532,119.9599499,222205.6937
533,120.18398,222207.9519
534,120.40801,222210.1762
535,120.6320401,222212.3671
536,120.8560701,222214.5251
537,121.0801001,222216.6507
538,121.3041302,222218.7445
539,121.5281602,222220.8068
540,121.7521902,222222.8383
541,121.9762203,222224.8393
542,122.2002503,222226.8104
543,122.4242804,222228.7521
544,122.6483104,222230.6646
545,122.8723404,222232.5486
546,123.0963705,222234.4045
547,123.3204005,222236.2326
548,123.5444305,222238.0335
549,123.7684606,222239.8075
550,123.9924906,222241.5551
551,124.2165207,222243.2766
552,124.4405507,222244.9725
553,124.6645807,222246.6432
554,124.8886108,222248.289
555,125.1126408,222249.9103
556,125.3366708,222251.5075
557,125.5607009,222253.081
558,125.7847309,222254.6312
559,126.008761,222256.1583
560,126.232791,222257.6628
561,126.456821,222259.145
562,126.6808511,222260.6053
563,126.9048811,222262.0439
564,127.1289111,222263.4612
565,127.3529412,222264.8576
566,127.5769712,222266.2333
567,127.8010013,222267.5887
568,128.0250313,222268.9241
569,128.2490613,222270.2398
570,128.4730914,222271.5361
571,128.6971214,222272.8132
572,128.9211514,222274.0716
573,129.1451815,222275.3114
574,129.3692115,222276.533
575,129.5932416,222277.7366
576,129.8172716,222278.9225
577,130.0413016,222280.091
578,130.2653317,222281.2423
579,130.4893617,222282.3767
580,130.7133917,222283.4945
581,130.9374218,222284.5959
582,131.1614518,222285.6812
583,131.3854819,222286.7506
584,131.6095119,222287.8043
585,131.8335419,222288.8426
586,132.057572,222289.8658
587,132.281602,222290.874
588,132.505632,222291.8674
589,132.7296621,222292.8464
590,132.9536921,222293.8111
591,133.1777222,222294.7618
592,133.4017522,222295.6986
593,133.6257822,222296.6217
594,133.8498123,222297.5315
595,134.0738423,222298.428
596,134.2978723,222299.3115
597,134.5219024,222300.1822
598,134.7459324,222301.0402
599,134.9699625,222301.8858
600,135.1939925,222302.7191
601,135.4180225,222303.5403
602,135.6420526,222304.3497
603,135.8660826,222305.1474
604,136.0901126,222305.9335
605,136.3141427,222306.7083
606,136.5381727,222307.4719
607,136.7622028,222308.2244
608,136.9862328,222308.9662
609,137.2102628,222309.6972
610,137.4342929,222310.4177
611,137.6583229,222311.1278
612,137.8823529,222311.8277
613,138.106383,222312.5176
614,138.330413,222313.1975
615,138.5544431,222313.8677
616,138.7784731,222314.5283
617,139.0025031,222315.1794
618,139.2265332,222315.8212
619,139.4505632,222316.4537
620,139.6745932,222317.0773
621,139.8986233,222317.6919
622,140.1226533,222318.2977
623,140.3466834,222318.8949
624,140.5707134,222319.4836
625,140.7947434,222320.0639
626,141.0187735,222320.6359
627,141.2428035,222321.1997
628,141.4668335,222321.7556
629,141.6908636,222322.3035
630,141.9148936,222322.8436
631,142.1389237,222323.3761
632,142.3629537,222323.901
633,142.5869837,222324.4185
634,142.8110138,222324.9286
635,143.0350438,222325.4316
636,143.2590738,222325.9274
637,143.4831039,222326.4161
638,143.7071339,222326.898
639,143.931164,222327.3731
640,144.155194,222327.8415
641,144.379224,222328.3033
642,144.6032541,222328.7585
643,144.8272841,222329.2074
644,145.0513141,222329.6499
645,145.2753442,222330.0862
646,145.4993742,222330.5164
647,145.7234043,222330.9406
648,145.9474343,222331.3588
649,146.1714643,222331.7711
650,146.3954944,222332.1777
651,146.6195244,222332.5785
652,146.8435544,222332.9738
653,147.0675845,222333.3635
654,147.2916145,222333.7478
655,147.5156446,222334.1267
656,147.7396746,222334.5004
657,147.9637046,222334.8688
658,148.1877347,222335.2321
659,148.4117647,222335.5904
660,148.6357947,222335.9437
661,148.8598248,222336.292
662,149.0838548,222336.6356
663,149.3078849,222336.9743
664,149.5319149,222337.3084
665,149.7559449,222337.6378
666,149.979975,222337.9627
667,150.204005,222338.2831
668,150.428035,222338.5991
669,150.6520651,222338.9107
670,150.8760951,222339.218
671,151.1001252,222339.521
672,151.3241552,222339.8199
673,151.5481852,222340.1147
674,151.7722153,222340.4054
675,151.9962453,222340.6922
676,152.2202753,222340.975
677,152.4443054,222341.2539
678,152.6683354,222341.529
679,152.8923655,222341.8003
680,153.1163955,222342.0679
681,153.3404255,222342.3319
682,153.5644556,222342.5922
683,153.7884856,222342.849
684,154.0125156,222343.1023
685,154.2365457,222343.3521
686,154.4605757,222343.5986
687,154.6846058,222343.8416
688,154.9086358,222344.0814
689,155.1326658,222344.3179
690,155.3566959,222344.5512
691,155.5807259,222344.7814
692,155.8047559,222345.0084
693,156.028786,222345.2324
694,156.252816,222345.4533
695,156.4768461,222345.6712
696,156.7008761,222345.8862
697,156.9249061,222346.0983
698,157.1489362,222346.3076
699,157.3729662,222346.514
700,157.5969962,222346.7176
701,157.8210263,222346.9185
702,158.0450563,222347.1167
703,158.2690864,222347.3122
704,158.4931164,222347.5052
705,158.7171464,222347.6955
706,158.9411765,222347.8833
707,159.1652065,222348.0685
708,159.3892365,222348.2513
709,159.6132666,222348.4317
710,159.8372966,222348.6096
711,160.0613267,222348.7852
712,160.2853567,222348.9584
713,160.5093867,222349.1294
714,160.7334168,222349.298
715,160.9574468,222349.4645
716,161.1814768,222349.6287
717,161.4055069,222349.7907
718,161.6295369,222349.9506
719,161.853567,222350.1084
720,162.077597,222350.264
721,162.301627,222350.4177
722,162.5256571,222350.5693
723,162.7496871,222350.7189
724,162.9737171,222350.8665
725,163.1977472,222351.0122
726,163.4217772,222351.1559
727,163.6458073,222351.2978
728,163.8698373,222351.4378
729,164.0938673,222351.576
730,164.3178974,222351.7124
731,164.5419274,222351.847
732,164.7659574,222351.9798
733,164.9899875,222352.1109
734,165.2140175,222352.2403
735,165.4380476,222352.368
736,165.6620776,222352.494
737,165.8861076,222352.6184
738,166.1101377,222352.7411
739,166.3341677,222352.8623
740,166.5581977,222352.9819
741,166.7822278,222353.1
742,167.0062578,222353.2165
743,167.2302879,222353.3315
744,167.4543179,222353.445
745,167.6783479,222353.5571
746,167.902378,222353.6677
747,168.126408,222353.7768
748,168.350438,222353.8846
749,168.5744681,222353.991
750,168.7984981,222354.096
751,169.0225282,222354.1997
752,169.2465582,222354.302
753,169.4705882,222354.4031
754,169.6946183,222354.5028
755,169.9186483,222354.6012
756,170.1426783,222354.6984
757,170.3667084,222354.7944
758,170.5907384,222354.8891
759,170.8147685,222354.9827
760,171.0387985,222355.075
761,171.2628285,222355.1661
762,171.4868586,222355.2561
763,171.7108886,222355.345
764,171.9349186,222355.4327
765,172.1589487,222355.5193
766,172.3829787,222355.6049
767,172.6070088,222355.6893
768,172.8310388,222355.7727
769,173.0550688,222355.855
770,173.2790989,222355.9363
771,173.5031289,222356.0165
772,173.7271589,222356.0958
773,173.951189,222356.174
774,174.175219,222356.2513
775,174.3992491,222356.3276
776,174.6232791,222356.4029
777,174.8473091,222356.4773
778,175.0713392,222356.5508
779,175.2953692,222356.6233
780,175.5193992,222356.695
781,175.7434293,222356.7657
782,175.9674593,222356.8356
783,176.1914894,222356.9046
784,176.4155194,222356.9727
785,176.6395494,222357.04
786,176.8635795,222357.1064
787,177.0876095,222357.1721
788,177.3116395,222357.2369
789,177.5356696,222357.3009
790,177.7596996,222357.3641
791,177.9837297,222357.4266
792,178.2077597,222357.4883
793,178.4317897,222357.5492
794,178.6558198,222357.6093
795,178.8798498,222357.6688
796,179.1038798,222357.7274
797,179.3279099,222357.7854
798,179.5519399,222357.8427
799,179.77597,222357.8992
800,180,222357.9551